time,U,C
47.181000000000004,0.7955339332551123,0.6762038432668455
47.182,0.7955343798394572,0.6762042228635385
47.183,0.795534826379146,0.6762046024222741
47.184,0.7955352728741829,0.6762049819430554
47.185,0.7955357193245726,0.6762053614258866
47.186,0.7955361657303195,0.6762057408707716
47.187,0.795536612091428,0.6762061202777138
47.188,0.7955370584079027,0.6762064996467173
47.189,0.7955375046797479,0.6762068789777858
47.19,0.7955379509069682,0.676207258270923
47.191,0.795538397089568,0.6762076375261328
47.192,0.7955388432275518,0.676208016743419
47.193,0.795539289320924,0.6762083959227854
47.194,0.795539735369689,0.6762087750642356
47.195,0.7955401813738515,0.6762091541677737
47.196,0.7955406273334158,0.6762095332334034
47.197,0.7955410732483863,0.6762099122611284
47.198,0.7955415191187676,0.6762102912509524
47.199,0.7955419649445641,0.6762106702028795
47.2,0.7955424107257801,0.6762110491169131
47.201,0.7955428564624204,0.6762114279930573
47.202,0.7955433021544892,0.6762118068313158
47.203,0.795543747801991,0.6762121856316923
47.204,0.7955441934049302,0.6762125643941906
47.205,0.7955446389633115,0.6762129431188147
47.206,0.7955450844771391,0.6762133218055683
47.207,0.7955455299464175,0.6762137004544548
47.208,0.7955459753711512,0.6762140790654785
47.209,0.7955464207513447,0.676214457638643
47.21,0.7955468660870025,0.6762148361739522
47.211,0.7955473113781288,0.6762152146714095
47.212,0.7955477566247283,0.6762155931310191
47.213,0.7955482018268054,0.6762159715527846
47.214,0.7955486469843644,0.6762163499367098
47.215,0.79554909209741,0.6762167282827984
47.216,0.7955495371659465,0.6762171065910545
47.217,0.7955499821899783,0.6762174848614816
47.218,0.79555042716951,0.6762178630940835
47.219,0.7955508721045459,0.676218241288864
47.22,0.7955513169950905,0.676218619445827
47.221000000000004,0.7955517618411484,0.6762189975649762
47.222,0.7955522066427237,0.6762193756463152
47.223,0.7955526513998212,0.676219753689848
47.224000000000004,0.7955530961124453,0.6762201316955785
47.225,0.7955535407806003,0.6762205096635102
47.226,0.7955539854042907,0.6762208875936471
47.227000000000004,0.7955544299835209,0.6762212654859927
47.228,0.7955548745182954,0.6762216433405511
47.229,0.7955553190086188,0.6762220211573259
47.230000000000004,0.7955557634544952,0.6762223989363209
47.231,0.7955562078559293,0.6762227766775398
47.232,0.7955566522129255,0.6762231543809867
47.233000000000004,0.7955570965254882,0.676223532046665
47.234,0.7955575407936218,0.6762239096745786
47.235,0.795557985017331,0.6762242872647313
47.236000000000004,0.7955584291966199,0.6762246648171268
47.237,0.7955588733314931,0.6762250423317692
47.238,0.7955593174219551,0.6762254198086618
47.239000000000004,0.7955597614680102,0.6762257972478086
47.24,0.795560205469663,0.6762261746492135
47.241,0.7955606494269177,0.6762265520128801
47.242000000000004,0.7955610933397791,0.6762269293388122
47.243,0.7955615372082513,0.6762273066270136
47.244,0.7955619810323389,0.676227683877488
